shipped: 41588
name,min,minNodes,max,maxNodes
RfpMarginPerDepth,20,22273,300,47528
RfpTtPvMargin,0,41879,150,37450
RazorBaseMargin,50,42388,600,42451
RazorMarginPerDepth,50,39812,600,42480
FutilityBaseMargin,20,30073,400,50705
FutilityMarginPerDepth,20,36892,400,42043
LmpBase,1,49045,40,44296
LmrCoefficient,1000,55503,6000,24575
LmrBase,-1024,64878,3072,24217
LmrNonImprovingNumerator,0,42586,1024,38140
LmrCutNodeBonus,0,40146,3072,38694
LmrTtPvReduction,0,36742,3072,58508
LmrHistoryNumerator,50,36957,1500,40630
CaptureStatMaterialWeight,0,40894,3000,41791
NmpMarginPerDepth,0,43968,60,37316
NmpMarginBase,0,37216,400,45504
NmpReductionBase,1,49755,10,41588
NmpReductionDepthDivisor,1,41588,10,42491
NmpEvalReductionDivisor,50,41588,800,41588
NmpEvalReductionMax,0,41588,8,41588
QuietSeeMarginPerDepth,1,40504,150,43608
CaptureSeeMarginPerDepth,1,43326,400,42716
CaptureSeeHistoryNumerator,0,41579,256,41682
AspirationInitialDelta,1,38404,60,40286
AspirationScoreDivisor,1000,43801,60000,39780
AspirationMaxDelta,16,41329,2048,41588
SingularBetaBase,10,42029,150,37537
SingularBetaTtPvBonus,0,41588,200,41588
SingularDoubleMargin,0,44216,100,40013
SingularDoubleMarginPvBonus,0,40531,100,39750
SingularDoubleMarginQuietBonus,0,40524,100,39960
PostLmrDeeperMargin,0,45162,300,41154
PostLmrShallowerMargin,0,42039,150,38720
PostLmrContinuationBonus,0,41588,4096,41588
ProbCutBaseMargin,50,27927,600,42236
ProbCutImprovingMargin,0,42468,300,30527
