iteration,wins,losses,draws,score,LmrCoefficient,LmrCoefficient_spin,LmrBase,LmrBase_spin,LmrTtPvReduction,LmrTtPvReduction_spin,LmrHistoryNumerator,LmrHistoryNumerator_spin,RfpMarginPerDepth,RfpMarginPerDepth_spin,RfpTtPvMargin,RfpTtPvMargin_spin,FutilityBaseMargin,FutilityBaseMargin_spin,FutilityMarginPerDepth,FutilityMarginPerDepth_spin
1,6,4,6,2,2874.3074,2874,983.8902,984,1025.4177,1025,439.6692,440,104.8708,105,21.0692,21,123.8246,124,109.1754,109
2,4,5,7,-1,2875.5243,2876,984.8871,985,1024.6700,1025,440.0220,440,104.9389,105,21.0327,21,123.9171,124,109.2678,109
3,7,3,6,4,2880.5133,2881,988.9741,989,1027.7353,1028,438.5752,439,104.6595,105,21.1824,21,124.2963,124,109.6470,110
4,4,6,6,-2,2877.9856,2878,991.0448,991,1029.2883,1029,437.8422,438,104.8011,105,21.1066,21,124.4884,124,109.4549,109
5,4,5,7,-1,2876.7128,2877,992.0875,992,1030.0704,1030,437.4731,437,104.8724,105,21.0684,21,124.5851,125,109.3582,109
6,2,6,8,-4,2871.6042,2872,996.2725,996,1026.9317,1027,438.9545,439,104.5863,105,20.9151,21,124.9734,125,109.7464,110
7,5,4,7,1,2872.8825,2873,997.3197,997,1027.7170,1028,439.3252,439,104.5147,105,20.9535,21,125.0705,125,109.6493,110
8,4,4,8,0,2872.8825,2873,997.3197,997,1027.7170,1028,439.3252,439,104.5147,105,20.9535,21,125.0705,125,109.6493,110
9,3,6,7,-3,2876.7060,2877,994.1874,994,1030.0662,1030,438.2164,438,104.3006,104,20.8388,21,125.3611,125,109.9399,110
10,6,1,9,5,2870.3528,2870,999.3920,999,1026.1628,1026,440.0589,440,103.9448,104,21.0294,21,125.8440,126,110.4227,110
11,1,3,12,-2,2867.8210,2868,1001.4660,1001,1024.6073,1025,440.7931,441,104.0866,104,21.1053,21,126.0364,126,110.2303,110
12,7,2,7,5,2874.1233,2874,1006.6288,1007,1028.4794,1028,438.9654,439,103.7337,104,21.2944,21,126.5153,127,109.7513,110
13,4,2,10,2,2871.6143,2872,1008.6842,1009,1030.0209,1030,438.2378,438,103.5932,104,21.3696,21,126.7060,127,109.5606,110
14,3,5,8,-2,2869.1179,2869,1010.7292,1011,1028.4872,1028,437.5138,438,103.7330,104,21.2948,21,126.8958,127,109.3709,109
15,4,4,8,0,2869.1179,2869,1010.7292,1011,1028.4872,1028,437.5138,438,103.7330,104,21.2948,21,126.8958,127,109.3709,109
16,2,5,9,-3,2865.4137,2865,1007.6948,1008,1026.2113,1026,438.5881,439,103.5255,104,21.1836,21,126.6142,127,109.0894,109
17,5,4,7,1,2864.1860,2864,1006.6890,1007,1025.4570,1025,438.9441,439,103.5943,104,21.1468,21,126.5209,127,108.9961,109
18,3,7,6,-4,2859.3035,2859,1002.6893,1003,1028.4568,1028,437.5282,438,103.3209,103,21.0003,21,126.1499,126,109.3672,109
19,3,5,8,-2,2856.8766,2857,1000.7012,1001,1029.9479,1030,436.8244,437,103.1849,103,20.9275,21,126.3343,126,109.5516,110
20,4,5,7,-1,2855.6704,2856,999.7130,1000,1029.2068,1029,436.4746,436,103.1174,103,20.9637,21,126.4260,126,109.4599,109
21,4,2,10,2,2853.2724,2853,997.7486,998,1027.7335,1028,437.1700,437,102.9831,103,21.0356,21,126.6082,127,109.2777,109
22,6,3,7,3,2849.6971,2850,994.8197,995,1029.9301,1030,436.1332,436,103.1833,103,21.1429,21,126.3365,126,109.0060,109
23,8,5,3,3,2846.1435,2846,997.7309,998,1027.7468,1028,437.1637,437,102.9843,103,21.0363,21,126.6066,127,108.7359,109
24,5,2,9,3,2849.6756,2850,994.8374,995,1029.9169,1030,436.1394,436,102.7865,103,21.1423,21,126.3381,126,109.0043,109
25,3,6,7,-3,2853.1862,2853,991.9614,992,1032.0738,1032,437.1575,437,102.9831,103,21.0369,21,126.0713,126,108.7375,109
26,3,5,8,-2,2850.8600,2851,993.8671,994,1033.5031,1034,436.4829,436,102.8529,103,20.9671,21,126.2481,126,108.5607,109
27,7,2,7,5,2845.0794,2845,989.1317,989,1029.9515,1030,438.1592,438,102.5291,103,21.1406,21,125.8088,126,109.0000,109
