toggle	default	flipped	exit	wall_s
UseNMP	true	false	0	55
UseRFP	true	false	0	56
UseRazoring	true	false	0	55
UseLMR	true	false	0	63
UseLMP	true	false	0	61
UseFutility	true	false	0	65
UseSEEPruning	true	false	0	52
UseQSearchTT	true	false	0	61
UseQSearchDeltaPruning	true	false	0	71
UseQSearchChecks	false	true	0	50
UseCaptureLMR	true	false	0	59
UsePostLMRDepth	true	false	0	61
UsePostLMRContHist	false	true	0	64
UseSingularExt	true	false	0	62
UseCheckExt	true	false	0	62
UseMultiCut	true	false	0	50
UseIIR	true	false	0	64
UseProbCut	true	false	0	67
UseButterflyHistory	true	false	0	70
UseCaptureHistory	true	false	0	53
UsePawnHistory	false	true	0	62
UseContHistory	true	false	0	59
UseHistoryPruning	false	true	0	54
UseCorrHistory	true	false	0	83
UseCorrHistPawn	true	false	0	55
UseCorrHistMinor	true	false	0	51
UseCorrHistMajor	false	true	0	64
UseCorrHistMaterial	false	true	0	48
UseCorrHistCont	true	false	0	56
UseTimeEffort	false	true	0	59
SWEEP COMPLETE: 30 toggles, all exit 0.
